Año,Zona,Lugar,Numero,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2019,Europa,Reino Unido,265.0,40.73926820158793,66834405.0,2067.8043691334065,2067.8043691334065,413.5608738266813,27.159512134391953,440.72038596107325
2021,Europa,Reino Unido,32.0,40.73926820158793,66834405.0,2067.8043691334065,2067.8043691334065,413.5608738266813,27.159512134391953,440.72038596107325
2022,Europa,Reino Unido,228.0,40.73926820158793,66834405.0,2067.8043691334065,2067.8043691334065,413.5608738266813,27.159512134391953,440.72038596107325
2023,Europa,Reino Unido,484.0,40.73926820158793,66834405.0,2067.8043691334065,2067.8043691334065,413.5608738266813,27.159512134391953,440.72038596107325
2019,Europa,Suiza,97.0,56.59690847098227,8574832.0,2027.518278332899,2027.518278332899,405.5036556665798,37.73127231398818,443.234927980568
2021,Europa,Suiza,41.0,56.59690847098227,8574832.0,2027.518278332899,2027.518278332899,405.5036556665798,37.73127231398818,443.234927980568
2022,Europa,Suiza,91.0,56.59690847098227,8574832.0,2027.518278332899,2027.518278332899,405.5036556665798,37.73127231398818,443.234927980568
2023,Europa,Suiza,84.0,56.59690847098227,8574832.0,2027.518278332899,2027.518278332899,405.5036556665798,37.73127231398818,443.234927980568
2019,Europa,Total,4232.0,,,,,0.0,,
2020,Europa,Total,2393.0,,,,,0.0,,
2021,Europa,Total,4124.0,,,,,0.0,,
2022,Europa,Total,5319.0,,,,,0.0,,
2023,Europa,Total,6285.0,,,,,0.0,,
2019,Europa,Total América,368.0,,,,,0.0,,
2020,Europa,Total América,56.0,,,,,0.0,,
2021,Europa,Total América,1061.0,,,,,0.0,,
2022,Europa,Total América,303.0,,,,,0.0,,
2023,Europa,Total América,487.0,,,,,0.0,,
2019,Europa,Total América del Norte,346.0,,,,,0.0,,
2020,Europa,Total América del Norte,52.0,,,,,0.0,,
2021,Europa,Total América del Norte,1033.0,,,,,0.0,,
2022,Europa,Total América del Norte,283.0,,,,,0.0,,
2023,Europa,Total América del Norte,344.0,,,,,0.0,,
2019,Europa,Total Europa,3808.0,,,,,0.0,,
2020,Europa,Total Europa,2223.0,,,,,0.0,,
2021,Europa,Total Europa,3003.0,,,,,0.0,,
2022,Europa,Total Europa,4760.0,,,,,0.0,,
2023,Europa,Total Europa,5515.0,,,,,0.0,,
2019,Europa,Total Unión Europea,3376.0,,,,,0.0,,
2020,Europa,Total Unión Europea,2065.0,,,,,0.0,,
2021,Europa,Total Unión Europea,2676.0,,,,,0.0,,
2022,Europa,Total Unión Europea,4208.0,,,,,0.0,,
2023,Europa,Total Unión Europea,4739.0,,,,,0.0,,
